Date,Price,Close,High,Low,Open,Volume
2002-12-02,323635.78125,323651.3406625601,310877.0629507211,310877.0629507211,736
2002-12-03,328303.5625,331415.4446090048,322873.32821978675,325191.6803909953,736
2002-12-04,320523.90625,334527.37788228155,318967.96495752427,328303.6127123786,1904
2002-12-05,314300.09375,320523.8579826733,311966.18216274754,314300.09375,256
2002-12-06,320523.90625,323324.6005764563,318967.96495752427,318967.96495752427,56
2002-12-09,310565.875,323635.78156312625,306551.54655561125,323635.78156312625,96
2002-12-10,311234.96875,319745.9684953507,311188.29050642403,311188.29050642403,936
2002-12-11,323651.3125,334480.66269950964,318952.37031573,318952.37031573,1056
2002-12-12,320523.90625,326747.6714199029,320523.90625,326747.6714199029,488
2002-12-13,314004.5,322079.83499331056,314004.5,320523.8937614588,1336
2002-12-16,317412.03125,322079.85523897054,317412.03125,322079.85523897054,928
2002-12-17,330637.46875,330637.46875,320523.85205882357,322079.7930882353,552
2002-12-18,337623.65625,341995.85070164525,326747.62805889675,330637.4807738836,1216
2002-12-19,346819.28125,346881.5188958053,334527.3462034545,342291.49251766485,1200
2002-12-20,368758.0625,381018.87909282703,346974.8858122363,350071.20878428273,1760
2002-12-23,365646.125,381034.38106914895,343862.9515957447,373425.8297872341,360
2002-12-24,365646.125,365646.125,365646.125,365646.125,0
2002-12-25,365646.125,365646.125,365646.125,365646.125,0
2002-12-26,357850.90625,364090.23028175137,350086.75988629943,364090.23028175137,80
2002-12-27,354754.5625,357866.444627193,343862.97505482455,343862.97505482455,416
2002-12-30,342307.09375,350086.80042613635,337639.2697443182,347286.10602272727,568
2002-12-31,342307.09375,342307.09375,342307.09375,342307.09375,0
2003-01-01,342307.09375,342307.09375,342307.09375,342307.09375,0
2003-01-02,373379.125,373379.125,354738.9536556653,354738.9536556653,208
2003-01-03,365646.125,381205.5345744681,365646.125,373425.8297872341,104
2003-01-06,392081.59375,393653.09424481133,373425.86015318066,381174.4467513592,696
2003-01-07,404544.71875,409212.5424278846,387444.9246766827,387444.9246766827,488
2003-01-08,394446.65625,396765.0086535048,390541.24381188117,396765.0086535048,96
2003-01-09,401448.40625,409212.5531713887,388985.31670284097,391630.4168564203,504
2003-01-10,407656.65625,413102.45127624046,390556.859867605,410581.8261498092,464
2003-01-13,396765.0,408418.99941176473,388985.29411764705,390572.35411764705,992
2003-01-14,407656.65625,410768.5391221374,401432.89050572517,404389.1792342557,944
2003-01-15,412324.375,416198.6681839623,401432.78773584904,401432.78773584904,528
2003-01-16,412340.0,427728.2593109694,406100.67544620956,416043.14025885815,960
2003-01-17,392097.21875,407656.6321924603,387444.9541307044,407656.6321924603,832
2003-01-20,386340.1875,388985.2874546919,384161.8698902537,388985.2874546919,336
2003-01-21,346990.46875,385873.4417739115,342307.0854445989,376537.7939890588,616
2003-01-22,329859.5,345403.35096698115,322079.7948113208,345403.35096698115,864
2003-01-23,326747.625,336083.27142857143,314315.6558392857,336083.27142857143,512
2003-01-24,305120.09375,326747.67816165223,298756.2937324707,326747.67816165223,616
2003-01-27,308869.875,334542.9037517002,300343.3175721626,305120.0568611153,560
2003-01-28,290976.53125,309632.2641503128,287849.08978797926,309165.4818425485,2248
2003-01-29,289405.03125,301059.0295514113,276957.5030241936,301059.0295514113,1320
2003-01-30,284752.8125,290961.01818206656,283959.2824504126,290961.01818206656,400
2003-01-31,286293.1875,293917.2995584239,284815.0433254076,286293.1875,632
2003-02-03,282870.0625,289405.0144389439,281625.309749725,286946.6277571507,816
2003-02-04,265303.5625,280069.44607354404,264541.15123013314,280069.44607354404,888
2003-02-05,264510.0,270733.76470588235,263732.0294117647,264510.0,688
2003-02-06,258286.203125,264509.9670557229,249121.71073701052,264509.9670557229,472
2003-02-07,264354.40625,264354.40625,250553.20799551206,256745.85388647733,808
2003-02-10,264494.46875,264510.0281634214,259842.20413700808,259873.32296385083,720
2003-02-11,265287.9375,269955.76044721407,261413.6444538123,264509.9670087976,1296
2003-02-12,261398.140625,270718.2290913318,258286.2579985119,267621.9058779762,1328
2003-02-13,248950.609375,261398.13984375,242726.844140625,259842.19853515623,1136
2003-02-14,245838.78125,253618.48951740505,244298.3990130538,248950.66455696203,624
2003-02-17,254785.390625,255174.37595419848,252062.4933206107,252062.4933206107,136
2003-02-18,262176.0625,264509.9740356083,253618.38686943622,256419.08071216618,1368
2003-02-19,259826.609375,262176.08048198995,255174.34539493383,262176.08048198995,304
2003-02-20,259064.1875,260620.12856606607,251284.48216966967,256730.27590090092,440
2003-02-21,260448.921875,260620.0753573242,256730.2234863194,259064.1346089223,216
2003-02-24,248981.671875,260620.11023036184,248981.671875,260620.11023036184,944
2003-02-25,262938.46875,262954.0281599503,248950.55920468667,248950.55920468667,656
2003-02-26,255174.3125,258286.1943597561,252062.4306402439,258286.1943597561,416
2003-02-27,256730.265625,258286.20662878788,252062.44261363638,258270.64721875,120
2003-02-28,256901.46875,261398.13911937494,256730.31520652896,259064.22716295195,616
2003-03-03,256901.46875,256901.46875,256901.46875,256901.46875,0
2003-03-04,256901.46875,256901.46875,256901.46875,256901.46875,0
2003-03-05,258286.203125,261382.52568053463,253618.3801769578,253618.3801769578,288
2003-03-06,270733.78125,270733.78125,253774.02139008619,262954.0748922414,664
2003-03-07,272460.84375,287522.3534724602,268866.6198389584,270578.1550346925,960
2003-03-10,273067.71875,280038.3362998576,264510.040954416,272445.34218304843,568
2003-03-11,266999.46875,274623.57945439976,266999.46875,269177.78609411424,3416
2003-03-12,276910.875,276910.875,256901.46974911503,279913.8417289431,472
2003-03-13,264198.875,276926.47686984687,261413.73962750295,276926.47686984687,1632
2003-03-14,261429.25,269177.8374598262,261398.13117486014,269177.8374598262,1256
2003-03-17,264510.0,272134.11176470586,256730.29411764705,261398.11764705883,1440
2003-03-18,278513.46875,278513.46875,262176.08650488826,268399.85116969276,4096
2003-03-19,275712.75,286293.14898419863,275712.75,276957.50282167044,3768
2003-03-20,275417.15625,278513.47928789334,269177.83193746116,269177.83193746116,368
2003-03-21,290945.40625,295628.7886384299,275401.55573158996,278513.43771725765,4008
2003-03-24,287926.9375,292516.9643339638,280847.4045865982,287849.1404350176,1384
2003-03-25,311577.28125,311577.28125,289420.6745833333,294041.82077715354,6904
2003-03-26,322095.34375,328303.54828873003,311577.18267686345,311577.18267686345,2352
2003-03-27,316322.84375,320539.4443725406,311188.2378258731,319279.1320093458,2344
2003-03-28,322079.78125,322079.78125,314300.0763888889,315856.0173611111,6264
2003-03-31,331571.03125,340751.0832648991,314300.08593383385,314300.08593383385,1184
2003-04-01,354754.5625,357866.444627193,332971.3876096491,332971.3876096491,3424
2003-04-02,362534.3125,374981.84254291846,360978.3712446352,360978.3712446352,1624
2003-04-03,367653.34375,370314.003184646,358037.627196718,368758.0619947945,1704
2003-04-04,354754.5625,373114.6670504386,354754.5625,370313.9731359649,1088
2003-04-07,359422.4375,371869.96780303033,348530.8484848485,371869.96780303033,1744
2003-04-08,359422.4375,365490.60852272727,350864.7604166667,357850.93679924245,624
2003-04-09,367217.625,368758.0065463328,345574.48630354647,359422.3608109826,896
2003-04-10,358971.21875,373425.913484461,358644.47107570106,368758.0895659052,1192
2003-04-11,367202.15625,373114.733342161,359438.00896318856,372647.95094014826,120
2003-04-14,373441.4375,373441.4375,365646.17229490436,365646.17229490436,432
2003-04-15,393653.125,393653.125,365646.18330039526,377315.7423418972,880
2003-04-16,400499.28125,416992.25864413363,388985.3158993784,393653.13969017094,1904
2003-04-17,433329.59375,433329.59375,397558.5080756284,409181.3880228905,1968
2003-04-18,433329.59375,433329.59375,433329.59375,433329.59375,0
2003-04-21,433329.59375,433329.59375,433329.59375,433329.59375,0
2003-04-22,455890.8125,458224.72450938565,427292.6106783277,427292.6106783277,1128
2003-04-23,463437.125,475340.07617089135,441887.3375860332,455906.3689650831,1984
2003-04-24,449044.65625,465226.4456644144,446726.30372812715,465226.4456644144,696
2003-04-25,443458.84375,455890.8151249079,443458.84375,445014.78509854915,728
2003-04-28,459002.6875,459002.6875,435679.12720974575,443443.27436440677,960
2003-04-29,490121.4375,502257.77785714285,465226.3803571429,465226.3803571429,1632
2003-04-30,522796.28125,525830.3668108259,477673.98316592263,477673.98316592263,1712
