"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","77.28","77.04","77.64","75.52","3.55M","1.36%"
"12/28/2018","76.24","76.32","77.20","75.04","2.85M","-0.94%"
"12/27/2018","76.96","76.72","77.17","74.96","4.57M","-2.83%"
"12/26/2018","79.20","74.00","79.36","73.84","5.12M","6.57%"
"12/24/2018","74.32","75.92","76.16","74.24","2.70M","-2.93%"
"12/21/2018","76.56","76.96","78.24","76.32","4.86M","-1.54%"
"12/20/2018","77.76","78.48","79.68","77.12","5.52M","-2.99%"
"12/19/2018","80.16","79.76","81.60","79.36","4.81M","2.35%"
"12/18/2018","78.32","83.28","83.28","77.84","7.05M","-6.32%"
"12/17/2018","83.60","87.12","87.28","83.28","5.02M","-3.42%"
"12/14/2018","86.56","88.72","88.79","86.24","4.47M","-3.48%"
"12/13/2018","89.68","85.92","90.16","85.72","6.64M","3.60%"
"12/12/2018","86.56","88.56","89.04","86.32","3.28M","-1.19%"
"12/11/2018","87.60","88.32","88.80","86.80","2.61M","1.86%"
"12/10/2018","86.00","86.96","88.22","85.60","3.93M","-3.24%"
"12/07/2018","88.88","90.96","91.80","88.60","5.41M","1.55%"
"12/06/2018","87.52","86.88","88.00","84.80","5.74M","-2.15%"
"12/04/2018","89.44","89.96","90.80","89.20","3.40M","-0.80%"
"12/03/2018","90.16","90.16","90.16","88.16","4.04M","5.03%"
"11/30/2018","85.84","85.04","87.40","84.08","5.85M","-1.29%"
"11/29/2018","86.96","86.72","88.32","86.08","4.14M","1.97%"
"11/28/2018","85.28","86.80","88.32","84.80","6.10M","-2.65%"
"11/27/2018","87.60","87.76","88.64","85.15","4.51M","0.09%"
"11/26/2018","87.52","87.60","88.48","87.04","4.88M","1.02%"
"11/23/2018","86.64","87.04","87.52","85.52","6.94M","-5.99%"
"11/21/2018","92.16","92.08","94.52","91.36","4.78M","2.22%"
"11/20/2018","90.16","94.64","95.20","89.31","9.02M","-7.17%"
"11/19/2018","97.12","95.04","97.44","93.56","4.32M","0.58%"
"11/16/2018","96.56","97.60","98.40","94.96","3.79M","0.75%"
"11/15/2018","95.84","95.92","97.24","95.44","4.92M","0.25%"
"11/14/2018","95.60","96.12","97.36","95.04","6.94M","2.22%"
"11/13/2018","93.52","99.36","99.84","92.92","10.62M","-6.33%"
"11/12/2018","99.84","102.88","103.76","99.52","4.36M","-1.73%"
"11/09/2018","101.60","101.20","102.72","100.56","3.86M","-1.09%"
"11/08/2018","102.72","103.92","104.48","102.56","3.43M","-1.68%"
"11/07/2018","104.48","106.08","106.48","103.80","3.24M","-0.91%"
"11/06/2018","105.44","107.12","107.36","103.94","3.70M","-0.90%"
"11/05/2018","106.40","107.92","108.72","106.32","2.46M","-0.08%"
"11/02/2018","106.48","107.36","108.12","106.20","3.60M","-1.11%"
"11/01/2018","107.68","110.88","110.88","106.96","4.51M","-2.39%"
"10/31/2018","110.32","111.92","113.00","110.17","4.00M","-1.71%"
"10/30/2018","112.24","111.20","113.28","110.96","2.46M","-0.57%"
"10/29/2018","112.88","114.00","114.24","112.32","2.66M","-1.54%"
"10/26/2018","114.64","112.96","115.00","112.48","2.71M","0.84%"
"10/25/2018","113.68","113.44","114.64","113.28","1.92M","1.14%"
"10/24/2018","112.40","113.92","114.72","112.32","3.38M","0.07%"
"10/23/2018","112.32","114.88","115.12","111.44","5.84M","-4.75%"
"10/22/2018","117.92","116.80","118.00","116.00","2.18M","0.14%"
"10/19/2018","117.76","117.44","118.40","117.04","2.57M","1.10%"
"10/18/2018","116.48","116.48","118.08","116.08","2.99M","-1.75%"
"10/17/2018","118.56","120.40","120.47","117.52","3.95M","-2.44%"
"10/16/2018","121.52","120.72","122.16","120.40","2.31M","0.40%"
